date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:43	69/69	---MCZ	200	added ('OK')	text/plain	date:Thu,%2013%20Aug%202020%2011:14:47%20GMT	https://wtka.websitestemplateskits.com/robots.txt		(from )
16:44:46	177900/177900	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2011:14:48%20GMT	https://wtka.websitestemplateskits.com/template-kit/home-tutoria/	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/template-kit/home-tutoria/index.html	(from )
16:44:47	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%22a9a3083-d159-5a40b11d01b80%22	https://wtka.websitestemplateskits.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-includes/css/dist/block-library/style.min7661.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:47	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%22ae40e8f-b97-5aaca2dfb201e%22	https://wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=2.7.1	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style653d.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:49	146335/146335	---MCZ	200	added ('OK')	text/css	etag:W/%22ae40eca-23b9f-5aaca2e349771%22	https://wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.7.1	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style653d.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:49	1111/1111	---MCZ	200	added ('OK')	text/css	etag:W/%22aae08fb-457-5a79efcc518c0%22	https://wtka.websitestemplateskits.com/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.14	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min18c7.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:50	17639/17639	---MCZ	200	added ('OK')	text/css	etag:W/%22ae40fe1-44e7-5aaca2e696b3d%22	https://wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.3.0	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutb2f9.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:51	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%22ae40fef-1a66-5aaca2e6a70f7%22	https://wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.3.0	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenb2f9.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:52	62511/62511	---MCZ	200	added ('OK')	text/css	etag:W/%22ae4102d-f42f-5aaca2eac0e48%22	https://wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.3.0	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/woocommerce/assets/css/woocommerceb2f9.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
16:44:53	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%22aac0c28-308-5a79ee2a9bf40%22	https://wtka.websitestemplateskits.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.1	E:/Institutes/Tutoria/wtka.websitestemplateskits.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorcc1a.css	(from https://wtka.websitestemplateskits.com/template-kit/home-tutoria/)
